# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2025 competition track, car10 map. Centreline extracted from the ROS
# occupancy grid beside this file by tools/centerline_from_map.py.
# lap 106.9 m, 800 points, closure gap 0.15 m, 100% of the centreline inside the corridor.
-6.59167, 0.25833, 0.63246, 0.63246
-6.44134, 0.27500, 0.60208, 0.60208
-6.30768, 0.27500, 0.60000, 0.60000
-6.18092, 0.25833, 0.60000, 0.60000
-6.05416, 0.24167, 0.60208, 0.60208
-5.92740, 0.22500, 0.60000, 0.60000
-5.79374, 0.22500, 0.60000, 0.60000
-5.66007, 0.22500, 0.60000, 0.60000
-5.52641, 0.22500, 0.60000, 0.60000
-5.39275, 0.22500, 0.60000, 0.60000
-5.25909, 0.22500, 0.60000, 0.60000
-5.12543, 0.22500, 0.57009, 0.57009
-4.99867, 0.20833, 0.55000, 0.55000
-4.87191, 0.19167, 0.60000, 0.60000
-4.74515, 0.17500, 0.60000, 0.60000
-4.61149, 0.17500, 0.60000, 0.60000
-4.48473, 0.15833, 0.55902, 0.55902
-4.35797, 0.14167, 0.60000, 0.60000
-4.23121, 0.12500, 0.60000, 0.60000
-4.09755, 0.12500, 0.60000, 0.60000
-3.96389, 0.12500, 0.60000, 0.60000
-3.83022, 0.12500, 0.60000, 0.60000
-3.69656, 0.12500, 0.60000, 0.60000
-3.56290, 0.12500, 0.57009, 0.57009
-3.42924, 0.12500, 0.55000, 0.55000
-3.29685, 0.12192, 0.55000, 0.55000
-3.17009, 0.10525, 0.55000, 0.55000
-3.04333, 0.08858, 0.55000, 0.55000
-2.91530, 0.07500, 0.55902, 0.55902
-2.78164, 0.07500, 0.57009, 0.57009
-2.64902, 0.07248, 0.55000, 0.55000
-2.52226, 0.05581, 0.55000, 0.55000
-2.39550, 0.03915, 0.57009, 0.57009
-2.26770, 0.02500, 0.60000, 0.60000
-2.14094, 0.00833, 0.55902, 0.55902
-2.01418, -0.00833, 0.60000, 0.60000
-1.88742, -0.02500, 0.60000, 0.60000
-1.75424, -0.02616, 0.60000, 0.60000
-1.62748, -0.04282, 0.55902, 0.55902
-1.50072, -0.05949, 0.55000, 0.55000
-1.37348, -0.07500, 0.55000, 0.55000
-1.23982, -0.07500, 0.55000, 0.55000
-1.10616, -0.07500, 0.55227, 0.55227
-0.97250, -0.07500, 0.55000, 0.55000
-0.84565, -0.09146, 0.50990, 0.50990
-0.71889, -0.10813, 0.55000, 0.55000
-0.59213, -0.12479, 0.55000, 0.55000
-0.45856, -0.12500, 0.55000, 0.55000
-0.32489, -0.12500, 0.55000, 0.55000
-0.19123, -0.12500, 0.55000, 0.55000
-0.05757, -0.12500, 0.55000, 0.55000
0.07609, -0.12500, 0.53852, 0.53852
0.20976, -0.12500, 0.50249, 0.50249
0.34342, -0.12500, 0.50000, 0.50000
0.47708, -0.12500, 0.50000, 0.50000
0.61074, -0.12500, 0.50000, 0.50000
0.74440, -0.12500, 0.50000, 0.50000
0.87807, -0.12500, 0.50000, 0.50000
1.00974, -0.12981, 0.50000, 0.50000
1.13650, -0.14647, 0.50000, 0.50000
1.26326, -0.16314, 0.55000, 0.55000
1.38510, -0.19167, 0.55000, 0.55000
1.51053, -0.21154, 0.55902, 0.55902
1.62348, -0.26154, 0.58523, 0.58523
1.73460, -0.31598, 0.60828, 0.60828
1.81472, -0.40669, 0.70000, 0.70000
1.86277, -0.51183, 0.65000, 0.65000
1.87500, -0.64043, 0.65000, 0.65000
1.87500, -0.77409, 0.61847, 0.61847
1.87500, -0.90775, 0.60000, 0.60000
1.87500, -1.04141, 0.60000, 0.60000
1.87500, -1.17508, 0.60000, 0.60000
1.87500, -1.30874, 0.60828, 0.60828
1.87500, -1.44240, 0.63246, 0.63246
1.88318, -1.57267, 0.69462, 0.69462
1.91109, -1.69478, 0.71589, 0.71589
1.97050, -1.80383, 0.75000, 0.75000
2.05323, -1.90323, 0.73824, 0.73824
2.15012, -1.99199, 0.70711, 0.70711
2.25928, -2.05115, 0.71063, 0.71063
2.37537, -2.09357, 0.65192, 0.65192
2.49679, -2.12312, 0.65000, 0.65000
2.61743, -2.15455, 0.65765, 0.65765
2.73919, -2.18331, 0.65000, 0.65000
2.86438, -2.20376, 0.70000, 0.70000
2.99114, -2.22042, 0.70000, 0.70000
3.11600, -2.20833, 0.70178, 0.70178
3.23841, -2.18117, 0.66708, 0.66708
