# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2026 Track 1, outer loop. Centreline extracted from the ROS occupancy
# grid beside this file by tools/centerline_from_map.py (centerline_around,
# hole_rank=0). The corridor BRANCHES -- an outer ring plus an inner section --
# so it has no unique centreline; it has one per loop, and a loop is named by
# the hole it encircles. This is the outer lap.
# Rows of cones are welded into continuous wall before extraction
# (connect_cone_rows): as separate blobs a cone row is mostly free space between
# the cones, so filling those holes -- which the skeleton needs -- turned a
# BOUNDARY into driveable track. 2263 px of formerly free space are wall here.
# The extracted line clears the nearest weld by 0.70 m against a 0.12 m car
# half-width, and no point of it lies inside one.
# lap 69.2 m, 800 points, closure 0.07 m, 100% of the centreline inside the corridor.
3.072045,13.829022,1.274755,1.274755
3.001969,13.841114,1.229837,1.229837
2.923899,13.833668,1.208305,1.208305
2.840973,13.809251,1.118034,1.118034
2.757782,13.785712,1.070047,1.070047
2.674191,13.763649,1.030776,1.030776
2.590392,13.742412,0.982344,0.982344
2.506402,13.721938,0.919239,0.919239
2.422233,13.702182,0.886002,0.886002
2.337802,13.683635,0.860233,0.860233
2.252995,13.667837,0.806226,0.806226
2.167774,13.655269,0.800000,0.800000
2.082135,13.645945,0.776209,0.776209
1.996076,13.640119,0.756637,0.756637
1.909669,13.637644,0.750000,0.750000
1.823223,13.636057,0.750000,0.750000
1.736796,13.634092,0.750000,0.750000
1.650471,13.630789,0.750000,0.750000
1.564261,13.625842,0.750000,0.750000
1.478053,13.620842,0.750000,0.750000
1.391844,13.615971,0.750000,0.750000
1.305606,13.612055,0.750000,0.750000
1.219257,13.610053,0.750000,0.750000
1.132788,13.610000,0.750000,0.750000
1.046318,13.609950,0.750000,0.750000
0.959862,13.609271,0.750000,0.750000
0.873485,13.606958,0.750000,0.750000
0.787250,13.602463,0.756637,0.756637
0.701040,13.597463,0.776209,0.776209
0.614829,13.592513,0.790569,0.790569
0.528605,13.588192,0.800000,0.800000
0.442301,13.585505,0.800000,0.800000
0.355854,13.585000,0.800000,0.800000
0.269384,13.585000,0.800000,0.800000
0.182913,13.585000,0.800000,0.800000
0.096447,13.585301,0.800000,0.800000
0.010021,13.586747,0.800000,0.800000
-0.076273,13.590306,0.800000,0.800000
-0.162416,13.592298,0.800000,0.800000
-0.248495,13.592835,0.800000,0.800000
-0.334568,13.592547,0.800000,0.800000
-0.420681,13.591101,0.800000,0.800000
-0.506926,13.587542,0.800000,0.800000
-0.593322,13.585550,0.800000,0.800000
-0.679783,13.585013,0.800000,0.800000
-0.766254,13.585000,0.800000,0.800000
-0.852724,13.585000,0.800000,0.800000
-0.939195,13.585000,0.800000,0.800000
-1.025666,13.585000,0.800000,0.800000
-1.112040,13.583349,0.800000,0.800000
-1.198290,13.579649,0.800000,0.800000
-1.284503,13.574852,0.790569,0.790569
-1.370713,13.569852,0.764853,0.764853
-1.456923,13.564852,0.751665,0.751665
-1.543229,13.561503,0.750000,0.750000
-1.629661,13.560203,0.750000,0.750000
-1.716129,13.560000,0.750000,0.750000
-1.802600,13.560000,0.750000,0.750000
-1.889070,13.560000,0.750000,0.750000
-1.975541,13.560000,0.750000,0.750000
-2.062012,13.560000,0.750000,0.750000
-2.148482,13.560000,0.750000,0.750000
-2.234953,13.560000,0.750000,0.750000
-2.321424,13.560000,0.750000,0.750000
-2.407895,13.560000,0.750000,0.750000
-2.494365,13.560000,0.750000,0.750000
-2.580836,13.560000,0.750000,0.750000
-2.667306,13.559906,0.750000,0.750000
-2.753720,13.558739,0.750000,0.750000
-2.839689,13.553757,0.751665,0.751665
-2.925210,13.544945,0.756637,0.756637
-3.010673,13.535041,0.776209,0.776209
-3.096136,13.525136,0.756637,0.756637
-3.181656,13.516302,0.751665,0.751665
-3.267620,13.511285,0.750000,0.750000
-3.354032,13.510097,0.750000,0.750000
-3.440500,13.509952,0.750000,0.750000
-3.526770,13.507437,0.750000,0.750000
-3.612517,13.500742,0.750000,0.750000
-3.697510,13.489015,0.756637,0.756637
-3.782304,13.474850,0.761577,0.761577
-3.866871,13.457993,0.743303,0.743303
-3.951276,13.440095,0.750000,0.750000
-4.035668,13.422158,0.743303,0.743303
-4.119786,13.403388,0.715891,0.715891
-4.202520,13.379879,0.743303,0.743303
-4.282695,13.349707,0.715891,0.715891
-4.359104,13.311873,0.743303,0.743303
-4.431649,13.266738,0.750000,0.750000
-4.501426,13.216659,0.743303,0.743303
-4.568626,13.162530,0.750000,0.750000
-4.634070,13.106118,0.743303,0.743303
-4.697808,13.047940,0.781025,0.781025
-4.759514,12.987829,0.790569,0.790569
-4.817307,12.924157,0.806226,0.806226
-4.871963,12.857609,0.790569,0.790569
-4.924417,12.789041,0.806226,0.806226
-4.975606,12.719443,0.820061,0.820061
-5.024477,12.648408,0.806226,0.806226
-5.069949,12.575593,0.827647,0.827647
-5.111669,12.500756,0.832166,0.832166
-5.149083,12.423496,0.824621,0.824621
-5.181958,12.343869,0.807775,0.807775
-5.209657,12.262172,0.827647,0.827647
-5.229746,12.179485,0.813941,0.813941
-5.241880,12.095738,0.851469,0.851469
-5.248918,12.010870,0.838153,0.838153
-5.251813,11.925107,0.813941,0.813941
-5.252148,11.839033,0.801561,0.801561
-5.254007,11.752804,0.800000,0.800000
-5.257574,11.666469,0.800000,0.800000
-5.259460,11.580114,0.800000,0.800000
-5.257880,11.493819,0.800000,0.800000
-5.255976,11.407525,0.790569,0.790569
-5.255125,11.321270,0.776209,0.776209
-5.255340,11.235049,0.756637,0.756637
-5.258312,11.148954,0.750000,0.750000
-5.265157,11.062841,0.750000,0.750000
-5.273302,10.976795,0.728011,0.728011
-5.282408,10.890843,0.707107,0.707107
-5.292193,10.804961,0.715891,0.715891
-5.299756,10.718927,0.728011,0.728011
-5.305396,10.632785,0.750000,0.750000
-5.309255,10.546552,0.750000,0.750000
-5.311000,10.460186,0.743303,0.743303
